id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,distress_flag,borrowings_x,deleveraging_flag,capital_allocation_label,borrowings_y,total_assets,free_cash_flow,previous_label
797,LT,Mar 2024,18266.0,2179.0,-25413.0,-4968.0,100,Strong,11.92926749151429,Normal,NO,2071.0,NO,Stable,2071.0,27544.0,20445.0,Growth Investment
799,LTIM,Mar 2014,628.0,180.0,-769.0,40.0,100,Strong,28.6624203821656,Normal,NO,110.0,NO,Stable,110.0,2666.0,808.0,Growth Investment
800,LTIM,Mar 2015,642.0,-103.0,-497.0,42.0,100,Strong,16.04361370716511,Normal,NO,218.0,NO,Growth Investment,218.0,2978.0,539.0,Stable
812,M&M,Mar 2015,1055.0,-4357.0,1669.0,-1633.0,100,Strong,412.9857819905213,High,NO,37911.0,NO,Growth Investment,37911.0,94376.0,-3302.0,Financial Stress
816,M&M,Mar 2019,-4347.0,-7174.0,13194.0,1672.0,40,Weak,165.0333563377042,High,NO,70848.0,NO,Financial Stress,70848.0,161889.0,-11521.0,Growth Investment
818,M&M,Mar 2021,17909.0,-19686.0,406.0,-1370.0,100,Strong,109.9223853928193,High,NO,80625.0,NO,Growth Investment,80625.0,164968.0,-1777.0,Financial Stress
820,M&M,Mar 2023,-7074.0,-8866.0,15946.0,6.0,40,Weak,125.3322024314391,High,NO,92247.0,NO,Financial Stress,92247.0,204283.0,-15940.0,Growth Investment
853,NAUKRI,Mar 2020,350.0,97.0,-143.0,304.0,100,Strong,27.71428571428572,Normal,NO,77.0,NO,Stable,77.0,2893.0,447.0,Growth Investment
854,NAUKRI,Mar 2021,276.0,-2043.0,1880.0,113.0,100,Strong,740.2173913043479,High,NO,65.0,NO,Growth Investment,65.0,6292.0,-1767.0,Stable
864,NESTLEIND,Dec 2019,2295.0,83.0,-3602.0,-1223.0,100,Strong,3.616557734204793,Normal,NO,189.0,NO,Stable,189.0,7173.0,2378.0,Growth Investment
865,NESTLEIND,Dec 2020,2454.0,-321.0,-1956.0,177.0,100,Strong,13.08068459657702,Normal,NO,147.0,NO,Growth Investment,147.0,7900.0,2133.0,Stable
910,PFC,Mar 2017,1795.0,-667.0,1950.0,3079.0,100,Strong,37.15877437325905,Normal,NO,202993.0,NO,Growth Investment,202993.0,259537.0,1128.0,Financial Stress
911,PFC,Mar 2018,-57148.0,1409.0,52018.0,-3720.0,40,Weak,2.465528102470778,Normal,YES,441151.0,NO,Financial Stress,441151.0,522531.0,-55739.0,Growth Investment
915,PFC,Mar 2022,4904.0,-547.0,-8371.0,-4014.0,100,Strong,11.15415986949429,Normal,NO,660476.0,NO,Growth Investment,660476.0,791000.0,4357.0,Financial Stress
916,PFC,Mar 2023,-74717.0,-1694.0,75537.0,-874.0,40,Weak,2.267221649691503,Normal,YES,751158.0,NO,Financial Stress,751158.0,896112.0,-76411.0,Growth Investment
923,PIDILITIND,Mar 2018,796.0,39.0,-790.0,46.0,100,Strong,4.899497487437186,Normal,NO,125.0,NO,Stable,125.0,5199.0,835.0,Growth Investment
924,PIDILITIND,Mar 2019,845.0,-513.0,-361.0,-29.0,100,Strong,60.71005917159763,High,NO,113.0,NO,Growth Investment,113.0,5904.0,332.0,Stable
925,PIDILITIND,Mar 2020,1280.0,103.0,-849.0,533.0,100,Strong,8.046875,Normal,NO,288.0,NO,Stable,288.0,6523.0,1383.0,Growth Investment
926,PIDILITIND,Mar 2021,1392.0,-1688.0,-76.0,-372.0,100,Strong,121.264367816092,High,NO,331.0,NO,Growth Investment,331.0,8814.0,-296.0,Stable
931,PNB,Mar 2014,16906.0,-302.0,2129.0,18733.0,100,Strong,1.786348042115225,Normal,NO,10108.0,NO,Growth Investment,10108.0,11540.0,16604.0,Stable
934,PNB,Mar 2017,21938.0,159.0,-9767.0,12330.0,100,Strong,0.7247698058163917,Normal,NO,35497.0,NO,Stable,35497.0,42960.0,22097.0,Growth Investment
935,PNB,Mar 2018,-1742.0,392.0,7460.0,6109.0,40,Weak,22.5028702640643,Normal,NO,53777.0,NO,Financial Stress,53777.0,63018.0,-1350.0,Stable
