id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,interest_coverage,asset_turnover,net_debt,high_leverage_flag,icr_label
546,HAVELLS,Mar 2017,6130,5315,815.0,13.0,42,13,121,723,32.0,494,8.0,44.0,647,62.0,3214,208,1683,5168,1300,12,162,3694,5168,0.06349206349206349,62.69230769230769,1.1861455108359134,208,False,Has Debt
547,HAVELLS,Mar 2018,8116,7083,1033.0,13.0,97,25,140,965,31.0,661,11.0,4.0,648,63.0,3667,115,2763,6608,2819,24,0,3765,6608,0.030831099195710455,41.32,1.2282082324455206,115,False,Has Debt
548,HAVELLS,Mar 2019,10073,8885,1189.0,12.0,124,16,149,1147,31.0,788,13.0,36.0,649,63.0,4135,94,2856,7148,2904,233,0,4012,7148,0.022391615054787994,74.3125,1.409205372132065,94,False,Has Debt
549,HAVELLS,Mar 2020,9440,8374,1067.0,11.0,107,51,218,904,19.0,735,12.0,34.0,650,63.0,4249,72,2690,7073,3350,86,0,3638,7073,0.016697588126159554,20.92156862745098,1.3346529054149583,72,False,Has Debt
550,HAVELLS,Mar 2021,10457,8868,1589.0,15.0,187,90,249,1438,27.0,1044,17.0,39.0,651,63.0,5114,521,3155,8852,3290,90,306,5166,8852,0.10063743480780375,17.655555555555555,1.1813149570718482,521,False,Has Debt
551,HAVELLS,Mar 2022,13938,12163,1775.0,13.0,159,67,261,1607,26.0,1196,19.0,39.0,652,63.0,5940,616,3904,10523,3434,57,426,6606,10523,0.10261535898717308,26.492537313432837,1.324527226076214,616,False,Has Debt
552,HAVELLS,Mar 2023,16911,15290,1621.0,10.0,178,55,296,1447,26.0,1072,17.0,44.0,653,63.0,6563,223,4309,11157,3621,166,201,7170,11157,0.03365529731361304,29.472727272727273,1.5157300349556333,223,False,Has Debt
553,HAVELLS,Mar 2024,18590,16709,1881.0,10.0,249,84,338,1707,26.0,1271,20.0,44.0,654,63.0,7384,303,4683,12433,3988,299,20,8126,12433,0.040687525177924,22.392857142857142,1.4952143489101584,303,False,Has Debt
555,HCLTECH,Jun 2013,25581,19901,5680.0,22.0,332,106,637,5270,23.0,4040,14.0,21.0,630,139.0,13025,1044,8191,22399,6753,494,713,14440,22399,0.07930720145852324,53.58490566037736,1.1420599133889906,1044,False,Has Debt
556,HCLTECH,Jun 2014,32144,24108,8035.0,25.0,677,114,681,7917,18.0,6528,23.0,11.0,631,140.0,19410,1018,9412,29980,7444,531,662,21343,29980,0.05207161125319693,70.48245614035088,1.0721814543028685,1018,False,Has Debt
557,HCLTECH,Jun 2015,36701,28215,8486.0,23.0,1126,91,404,9117,20.0,7342,26.0,58.0,632,281.0,23943,648,10372,35245,8275,552,869,25548,35245,0.026750330250990752,93.25274725274726,1.0413108242303872,648,False,Has Debt
559,HCLTECH,Mar 2017,47568,37178,10390.0,22.0,1069,89,828,10542,18.0,8606,30.0,40.0,634,285.0,32664,582,12231,45762,15235,448,1306,28773,45762,0.01766366202312665,116.74157303370787,1.039465058345352,582,False,Has Debt
560,HCLTECH,Mar 2018,50569,39323,11246.0,22.0,1230,69,1383,11024,21.0,8722,31.0,19.0,635,278.0,36108,557,11046,47989,18753,320,2660,26256,47989,0.015308085527400648,162.9855072463768,1.0537623205317885,557,False,Has Debt
561,HCLTECH,Mar 2019,60427,46501,13926.0,23.0,943,174,2073,12622,20.0,10120,37.0,11.0,636,271.0,41095,4195,12788,58349,22888,235,2305,32921,58349,0.10141178745829908,80.03448275862068,1.035613292430033,4195,False,Has Debt
562,HCLTECH,Mar 2020,70676,53360,17316.0,24.0,589,505,3420,13980,21.0,11057,41.0,25.0,637,543.0,50724,7986,23566,82819,37490,400,7066,37863,82819,0.15577271929311254,34.28910891089109,0.8533790555307357,7986,False,Has Debt
563,HCLTECH,Mar 2021,75379,55331,20048.0,27.0,927,511,4611,15853,30.0,11169,41.0,24.0,638,543.0,59370,6864,19270,86047,37145,312,6862,41728,86047,0.11456612087526914,39.23287671232877,0.8760212442037492,6864,False,Has Debt
564,HCLTECH,Mar 2022,85651,65122,20529.0,24.0,1067,319,4326,16951,20.0,13523,50.0,84.0,639,543.0,61371,6343,20664,88921,35077,129,6351,47364,88921,0.10244855767677746,64.35423197492163,0.9632257846852824,6343,False,Has Debt
565,HCLTECH,Mar 2023,101456,78828,22628.0,22.0,1358,353,4145,19488,24.0,14845,55.0,88.0,640,543.0,64862,4794,23051,93250,34619,40,5495,53096,93250,0.07329714853604465,64.10198300283287,1.088,4794,False,Has Debt
566,HCLTECH,Mar 2024,109913,85715,24198.0,22.0,1495,553,4173,20967,25.0,15710,58.0,90.0,641,543.0,67720,5758,24985,99006,35063,108,7137,56698,99006,0.08435023365512796,43.75768535262206,1.1101650405025958,5758,False,Has Debt
568,HDFCBANK,Mar 2013,35861,19695,12631.0,3534.0,10,7133,663,10004,31.0,6903,14.0,19.0,656,476.0,36167,335588,35492,407723,2773,0,110960,293989,407723,9.158311273640258,1.770783681480443,0.08795432192934909,335588,True,Has Debt
569,HDFCBANK,Mar 2014,42555,23445,13508.0,5602.0,13,8298,689,13211,34.0,8768,18.0,19.0,657,480.0,43687,416677,42776,503620,3026,0,119571,381023,503620,9.434125025471506,1.6278621354543263,0.08449823279456734,416677,True,Has Debt
570,HDFCBANK,Mar 2015,50666,27288,16164.0,7214.0,14,9546,680,16079,33.0,10703,21.0,19.0,658,501.0,62653,509762,34181,607097,3225,0,149454,454417,607097,8.071729423314437,1.6932746700188561,0.08345618574955897,509762,True,Has Debt
571,HDFCBANK,Mar 2016,63162,34070,20055.0,9037.0,14,11212,738,19511,34.0,12821,25.0,19.0,659,506.0,73798,649587,38321,762212,3667,0,193634,564912,762212,8.742288436692506,1.7887085265786657,0.08286670899959592,649587,True,Has Debt
572,HDFCBANK,Mar 2017,73271,38042,23856.0,11374.0,16,12905,886,23393,35.0,15317,30.0,18.0,660,513.0,91281,741550,59000,892344,4000,0,210777,677567,892344,8.078414711201168,1.8485858194498257,0.08211071066763491,741550,True,Has Debt
573,HDFCBANK,Mar 2018,85288,42381,29532.0,13374.0,16,16057,967,28464,35.0,18561,36.0,18.0,661,519.0,109080,944817,48770,1103186,4008,0,238461,860717,1103186,8.620671721457313,1.8391978576321852,0.07731062576936255,944817,True,Has Debt
