company_id,year,capital_allocation_label,cfo_quality_score,capex_intensity_pct,distress_flag
AGTL,Mar 2019,Stable,100,222.191011235955,NO
AGTL,Mar 2020,Growth Investment,100,93.69918699186992,NO
AGTL,Mar 2021,Growth Investment,100,117.737003058104,NO
AGTL,Mar 2022,Growth Investment,100,154.7814207650273,NO
AGTL,Mar 2023,Growth Investment,100,136.8112543962485,NO
AGTL,Mar 2024,Growth Investment,100,78.7434554973822,NO
AXISBANK,Mar 2013,Growth Investment,100,425.1457442673922,NO
AXISBANK,Mar 2014,Growth Investment,100,97.93971238938053,NO
AXISBANK,Mar 2015,Financial Stress,40,52.57881545970189,NO
AXISBANK,Mar 2016,Financial Stress,40,26.70242064067256,YES
AXISBANK,Mar 2017,Growth Investment,100,38.67863019652892,NO
AXISBANK,Mar 2018,Financial Stress,40,26.06668403230008,YES
AXISBANK,Mar 2019,Growth Investment,100,50.3003367003367,NO
AXISBANK,Mar 2020,Growth Investment,100,31.18424513413992,NO
AXISBANK,Mar 2021,Growth Investment,100,429.7316551887913,NO
AXISBANK,Mar 2022,Growth Investment,100,96.35710985535061,NO
AXISBANK,Mar 2023,Growth Investment,100,146.5503963759909,NO
AXISBANK,Mar 2024,Financial Stress,40,162.034203420342,NO
BAJAJ-AUTO,Mar 2013,Growth Investment,100,62.84941388638413,NO
BAJAJ-AUTO,Mar 2014,Growth Investment,100,59.16619074814392,NO
BAJAJ-AUTO,Mar 2015,Growth Investment,100,17.97540208136235,NO
BAJAJ-AUTO,Mar 2016,Growth Investment,100,1.842818428184282,NO
BAJAJ-AUTO,Mar 2017,Growth Investment,100,110.4989286807469,NO
BAJAJ-AUTO,Mar 2018,Growth Investment,100,45.14787430683919,NO
BAJAJ-AUTO,Mar 2019,Growth Investment,100,10.97708082026538,NO
BAJAJ-AUTO,Mar 2020,Stable,100,45.87012987012987,NO
BAJAJ-AUTO,Mar 2021,Growth Investment,100,91.9551282051282,NO
BAJAJ-AUTO,Mar 2022,Stable,100,6.576125804145819,NO
BAJAJ-AUTO,Mar 2023,Stable,100,22.94864506348304,NO
BAJAJ-AUTO,Mar 2024,Growth Investment,100,1.097895699908509,NO
BAJAJ-AUTO,Mar 2013,Growth Investment,100,62.84941388638413,NO
BAJAJ-AUTO,Mar 2014,Growth Investment,100,59.16619074814392,NO
BAJAJ-AUTO,Mar 2015,Growth Investment,100,17.97540208136235,NO
BAJAJ-AUTO,Mar 2016,Growth Investment,100,1.842818428184282,NO
BAJAJ-AUTO,Mar 2017,Growth Investment,100,110.4989286807469,NO
BAJAJ-AUTO,Mar 2018,Growth Investment,100,45.14787430683919,NO
BAJAJ-AUTO,Mar 2019,Growth Investment,100,10.97708082026538,NO
BAJAJ-AUTO,Mar 2020,Stable,100,45.87012987012987,NO
BAJAJ-AUTO,Mar 2021,Growth Investment,100,91.9551282051282,NO
BAJAJ-AUTO,Mar 2022,Stable,100,6.576125804145819,NO
BAJAJ-AUTO,Mar 2023,Stable,100,22.94864506348304,NO
BAJAJ-AUTO,Mar 2024,Growth Investment,100,1.097895699908509,NO
BAJAJFINSV,Mar 2013,Financial Stress,40,42.66108061253973,NO
BAJAJFINSV,Mar 2014,Financial Stress,40,38.38074844498827,NO
BAJAJFINSV,Mar 2015,Financial Stress,40,34.56341440685863,YES
BAJAJFINSV,Mar 2016,Financial Stress,40,9.045431342521695,NO
BAJAJFINSV,Mar 2017,Financial Stress,40,1.382530672038088,NO
BAJAJFINSV,Mar 2018,Financial Stress,40,4.708886618998979,YES
BAJAJFINSV,Mar 2019,Financial Stress,40,25.49490323533757,NO
BAJAJFINSV,Mar 2020,Financial Stress,40,42.56921562754076,NO
BAJAJFINSV,Mar 2021,Growth Investment,100,81.02045304596437,NO
BAJAJFINSV,Mar 2022,Financial Stress,40,4.291654291654292,NO
BAJAJFINSV,Mar 2023,Financial Stress,40,35.32168186423505,YES
BAJAJFINSV,Mar 2024,Financial Stress,40,15.95946064012581,NO
BAJAJHLDNG,Mar 2013,Growth Investment,100,78.01268498942918,NO
BAJAJHLDNG,Mar 2014,Growth Investment,100,59.51834862385321,NO
BAJAJHLDNG,Mar 2015,Growth Investment,100,58.29145728643216,NO
BAJAJHLDNG,Mar 2016,Stable,100,88.8404533565824,NO
BAJAJHLDNG,Mar 2017,Stable,40,40.30335861321777,YES
BAJAJHLDNG,Mar 2018,Growth Investment,100,68.8534641324341,NO
